Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
2022-09-27,US,US,desktop,9331,608,4786
2022-09-23,NL,NL,mobile,9314,145,5635
2022-09-27,NL,NL,mobile,9189,150,6077
2022-09-21,US,US,desktop,9179,571,4661
2022-09-22,NL,NL,mobile,9172,142,5745
2022-09-29,NL,NL,mobile,9119,134,5516
2022-09-22,US,US,desktop,9029,585,4475
2022-09-26,US,US,desktop,8981,569,4470
2022-09-28,NL,NL,mobile,8918,148,5697
2022-09-09,US,US,desktop,8799,609,4347
2022-09-28,US,US,desktop,8718,642,4535
2022-09-06,US,US,desktop,8585,604,4587
2022-08-29,US,US,desktop,8278,560,3904
2022-09-23,US,US,desktop,8226,508,4002
2022-09-29,US,US,desktop,8167,535,4231
2022-08-24,US,US,desktop,8100,609,4010
2022-08-23,US,US,desktop,7986,620,4185
2022-09-01,US,US,desktop,7969,570,4223
2022-08-30,US,US,desktop,7846,565,3975
2022-08-22,US,US,desktop,7769,602,3914
2022-08-31,US,US,desktop,7769,600,4082
2022-08-25,US,US,desktop,7746,549,3617
2022-09-17,US,US,mobile,7723,119,2703
2022-09-02,US,US,desktop,7547,531,4077
2022-08-26,US,US,desktop,7454,502,3569
2022-09-18,US,US,mobile,7250,119,2824
2022-09-17,US,US,desktop,7204,394,3444
2022-09-16,US,US,mobile,7178,110,2655
2022-09-11,US,US,desktop,7102,468,3719
2022-09-18,US,US,desktop,7100,438,3533
2022-09-15,US,US,mobile,6871,107,2783
2022-09-12,US,US,mobile,6827,118,2743
2022-09-14,US,US,mobile,6767,125,2738
2022-09-10,US,US,desktop,6765,462,3338
2022-09-11,US,US,mobile,6740,125,2698
2022-09-19,US,US,mobile,6739,113,2695
2022-09-05,US,US,desktop,6657,410,3644
2022-09-13,US,US,mobile,6636,123,2683
2022-09-20,US,US,mobile,6582,117,2582
2022-09-25,US,US,mobile,6490,124,2634
2022-09-21,US,US,mobile,6353,88,2570
2022-09-08,US,US,mobile,6283,117,2550
2022-09-23,US,US,mobile,6227,141,2413
2022-09-26,US,US,mobile,6218,122,2439
2022-09-25,US,US,desktop,6212,410,3236
2022-09-22,US,US,mobile,6203,103,2587
2022-08-27,US,US,desktop,6171,395,2742
2022-09-29,US,US,mobile,6163,121,2491
2022-09-09,US,US,mobile,6063,130,2363
2022-09-10,US,US,mobile,6059,130,2375
2022-09-27,US,US,mobile,6041,114,2464
